customer_id,customer_name,email,region,customer_segment,last_order_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,rfm_segment,priority,crm_action
C018367,Neha Yadav,c018367@mail.com,Central,Consumer,2025-12-15,17,12,1290734.74,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C006150,Neha Kulkarni,c006150@mail.com,West,Consumer,2025-12-25,7,11,1287020.24,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012310,Rohan Reddy,c012310@mail.com,South,Consumer,2025-12-03,29,11,1286180.97,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019447,Saanvi Malhotra,c019447@mail.com,South,Consumer,2025-07-27,158,9,1278020.64,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C009018,Anaya Sharma,c009018@mail.com,South,Consumer,2025-12-15,17,9,1256787.67,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004137,Tanvi Chopra,c004137@mail.com,East,Consumer,2025-09-15,108,14,1255870.31,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C006852,Meera Patel,c006852@mail.com,South,Consumer,2025-11-14,48,11,1244279.87,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015573,Vivaan Mehta,c015573@mail.com,South,Consumer,2025-12-10,22,9,1228190.98,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016821,Rohan Singh,c016821@mail.com,South,Consumer,2025-11-26,36,10,1224434.03,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018471,Pooja Bhat,c018471@mail.com,South,Corporate,2025-12-24,8,9,1215881.9,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000627,Nitya Saxena,c000627@mail.com,West,Consumer,2025-12-16,16,9,1206018.92,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000616,Nikhil Bose,c000616@mail.com,West,Consumer,2025-12-24,8,11,1202677.78,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018384,Aarav Singh,c018384@mail.com,East,Consumer,2025-11-12,50,12,1191040.95,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011535,Saanvi Saxena,c011535@mail.com,North,Home Office,2025-12-08,24,9,1189333.6800000002,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C007226,Saanvi Bose,c007226@mail.com,North,Consumer,2025-11-24,38,10,1188720.1700000002,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008216,Meera Sharma,c008216@mail.com,North,Consumer,2025-12-31,1,11,1184553.61,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008486,Meera Iyer,c008486@mail.com,West,Consumer,2025-12-03,29,12,1184381.49,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004244,Varun Mehta,c004244@mail.com,East,Consumer,2025-11-09,53,8,1183671.47,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016274,Saanvi Chopra,c016274@mail.com,West,Corporate,2025-12-23,9,10,1182197.01,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C005548,Varun Chopra,c005548@mail.com,East,Home Office,2025-12-28,4,11,1176185.3800000001,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C006555,Nitya Khan,c006555@mail.com,North,Home Office,2025-09-17,106,13,1173012.99,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C012899,Pooja Khan,c012899@mail.com,West,Corporate,2025-12-14,18,8,1169432.23,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019134,Neha Nair,c019134@mail.com,East,Corporate,2025-12-21,11,9,1162804.25,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C002526,Riya Kulkarni,c002526@mail.com,North,Consumer,2025-12-24,8,10,1162575.86,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C003478,Aarav Das,c003478@mail.com,Central,Corporate,2025-08-08,146,12,1161006.99,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C007695,Anaya Verma,c007695@mail.com,South,Consumer,2025-12-10,22,9,1160880.3399999999,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C005681,Aditya Khan,c005681@mail.com,West,Corporate,2025-12-31,1,8,1159281.31,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C007047,Diya Yadav,c007047@mail.com,South,Consumer,2025-12-23,9,10,1158409.28,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C005907,Kiara Bose,c005907@mail.com,East,Consumer,2025-11-24,38,9,1156547.09,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000679,Rahul Mehta,c000679@mail.com,North,Corporate,2025-12-25,7,13,1156519.32,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C017425,Diya Reddy,c017425@mail.com,Central,Consumer,2025-12-20,12,10,1155734.4300000002,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016925,Nikhil Khan,c016925@mail.com,West,Corporate,2025-12-16,16,9,1153082.45,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C002410,Saanvi Kulkarni,c002410@mail.com,Central,Consumer,2025-12-22,10,10,1148639.27,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C001290,Nikhil Khan,c001290@mail.com,East,Consumer,2025-09-16,107,11,1148176.63,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C009490,Anaya Roy,c009490@mail.com,Central,Consumer,2025-12-22,10,12,1148167.63,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C009951,Tanvi Nair,c009951@mail.com,North,Consumer,2025-12-08,24,12,1145228.08,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C006180,Arjun Reddy,c006180@mail.com,South,Home Office,2025-12-18,14,14,1141351.26,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018124,Varun Malhotra,c018124@mail.com,North,Consumer,2025-11-12,50,9,1141044.75,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012962,Diya Chopra,c012962@mail.com,East,Consumer,2025-06-30,185,7,1138685.67,2,4,5,245,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C009957,Isha Das,c009957@mail.com,West,Home Office,2025-06-29,186,11,1133589.07,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C004491,Vivaan Das,c004491@mail.com,East,Home Office,2025-11-27,35,12,1133126.91,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008640,Kiara Iyer,c008640@mail.com,North,Consumer,2025-11-19,43,11,1131813.6300000001,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004991,Vivaan Gupta,c004991@mail.com,North,Corporate,2025-08-15,139,7,1131292.04,2,4,5,245,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C001469,Meera Das,c001469@mail.com,West,Consumer,2025-12-11,21,8,1130317.6600000001,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008135,Pooja Roy,c008135@mail.com,South,Corporate,2025-12-07,25,11,1129583.6700000002,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015085,Rahul Verma,c015085@mail.com,South,Consumer,2025-11-20,42,10,1128052.71,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000353,Neha Reddy,c000353@mail.com,East,Consumer,2025-11-23,39,14,1126831.61,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014242,Kabir Bhat,c014242@mail.com,North,Corporate,2025-12-14,18,9,1125497.08,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016128,Anaya Reddy,c016128@mail.com,South,Consumer,2025-11-21,41,10,1122796.82,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016700,Rahul Roy,c016700@mail.com,Central,Consumer,2025-11-19,43,9,1121472.25,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008915,Kiara Kulkarni,c008915@mail.com,South,Consumer,2025-11-30,32,10,1117439.89,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008824,Meera Bhat,c008824@mail.com,West,Consumer,2025-12-28,4,12,1112791.3800000001,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C017153,Varun Reddy,c017153@mail.com,East,Home Office,2025-06-14,201,12,1109227.2,1,5,5,155,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C013641,Nitya Bhat,c013641@mail.com,North,Consumer,2025-12-01,31,10,1108656.08,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C002130,Nikhil Khan,c002130@mail.com,North,Consumer,2025-12-08,24,10,1108099.83,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000696,Arjun Malhotra,c000696@mail.com,East,Corporate,2025-12-01,31,10,1106439.8599999999,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004478,Rohan Verma,c004478@mail.com,South,Corporate,2025-11-30,32,9,1105395.19,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004934,Saanvi Malhotra,c004934@mail.com,South,Consumer,2025-12-16,16,12,1105094.08,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016690,Vivaan Jain,c016690@mail.com,West,Corporate,2025-12-01,31,13,1103589.1099999999,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008481,Isha Das,c008481@mail.com,North,Home Office,2025-11-23,39,11,1098590.87,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000924,Tanvi Mehta,c000924@mail.com,East,Corporate,2025-12-09,23,15,1097779.3599999999,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016679,Aditya Iyer,c016679@mail.com,Central,Consumer,2025-11-23,39,8,1097718.96,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C009077,Kabir Mehta,c009077@mail.com,West,Consumer,2025-12-03,29,8,1097035.13,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C005861,Rahul Malhotra,c005861@mail.com,East,Consumer,2025-12-14,18,9,1096407.65,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012377,Nitya Yadav,c012377@mail.com,North,Consumer,2025-11-13,49,10,1091804.53,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000985,Arjun Chopra,c000985@mail.com,North,Consumer,2025-12-10,22,9,1091428.21,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018727,Kabir Reddy,c018727@mail.com,West,Consumer,2025-12-18,14,10,1087258.3,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016590,Varun Bhat,c016590@mail.com,East,Consumer,2025-08-23,131,8,1086534.61,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C019092,Vivaan Saxena,c019092@mail.com,East,Home Office,2025-12-31,1,11,1082745.79,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016420,Isha Chopra,c016420@mail.com,North,Home Office,2025-12-29,3,11,1081388.91,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000039,Tanvi Chopra,c000039@mail.com,South,Consumer,2025-12-18,14,9,1079863.32,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000365,Nikhil Mehta,c000365@mail.com,West,Corporate,2025-07-06,179,10,1079668.8199999998,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C001372,Isha Reddy,c001372@mail.com,Central,Consumer,2025-11-14,48,13,1079415.08,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C009345,Aarav Malhotra,c009345@mail.com,East,Consumer,2025-12-09,23,7,1072300.1,5,4,5,545,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000773,Neha Patel,c000773@mail.com,East,Consumer,2025-03-16,291,8,1070842.35,1,5,5,155,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C002479,Isha Iyer,c002479@mail.com,South,Home Office,2025-04-09,267,7,1068303.29,1,4,5,145,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C006875,Rohan Bose,c006875@mail.com,South,Home Office,2025-12-07,25,8,1066349.88,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016419,Meera Das,c016419@mail.com,South,Consumer,2025-11-11,51,7,1060225.5599999998,4,4,5,445,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011753,Diya Malhotra,c011753@mail.com,East,Corporate,2025-12-25,7,10,1059913.76,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C001751,Kiara Mehta,c001751@mail.com,West,Consumer,2025-11-14,48,11,1058360.66,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011279,Aditya Das,c011279@mail.com,South,Consumer,2025-12-13,19,14,1056284.6300000001,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012294,Anaya Kulkarni,c012294@mail.com,East,Consumer,2025-12-14,18,11,1055264.62,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014273,Kiara Jain,c014273@mail.com,Central,Consumer,2025-12-04,28,10,1054617.58,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011907,Isha Bose,c011907@mail.com,East,Consumer,2025-09-09,114,6,1054484.25,2,4,5,245,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C001653,Rohan Sharma,c001653@mail.com,South,Consumer,2025-12-02,30,9,1053821.12,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011078,Rahul Malhotra,c011078@mail.com,East,Consumer,2025-05-15,231,8,1052645.06,1,5,5,155,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C005598,Nitya Chopra,c005598@mail.com,South,Consumer,2025-08-20,134,11,1052325.01,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C011445,Arjun Reddy,c011445@mail.com,South,Home Office,2025-12-02,30,11,1052048.97,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015926,Arjun Reddy,c015926@mail.com,West,Corporate,2025-12-26,6,11,1050851.46,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012098,Aditya Malhotra,c012098@mail.com,North,Corporate,2025-11-12,50,7,1050552.49,4,4,5,445,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012884,Pooja Nair,c012884@mail.com,West,Consumer,2025-12-25,7,8,1048442.32,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018771,Kabir Sharma,c018771@mail.com,East,Corporate,2025-08-25,129,11,1048173.04,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C000085,Neha Das,c000085@mail.com,North,Consumer,2025-12-24,8,9,1046989.6,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C010750,Anaya Bose,c010750@mail.com,North,Corporate,2025-12-31,1,10,1044483.5800000001,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C003676,Anaya Chopra,c003676@mail.com,West,Consumer,2025-09-18,105,9,1043283.87,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C004133,Kiara Bose,c004133@mail.com,South,Corporate,2025-12-13,19,9,1042410.05,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C003160,Nikhil Singh,c003160@mail.com,South,Consumer,2025-12-15,17,8,1042336.96,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019973,Rahul Khan,c019973@mail.com,Central,Consumer,2025-11-14,48,8,1042137.27,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008755,Saanvi Sharma,c008755@mail.com,North,Consumer,2025-12-21,11,12,1039172.2,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014354,Saanvi Das,c014354@mail.com,North,Consumer,2025-12-06,26,8,1039117.47,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C007808,Kiara Yadav,c007808@mail.com,South,Home Office,2025-12-15,17,11,1038386.65,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014685,Diya Iyer,c014685@mail.com,South,Consumer,2025-12-31,1,10,1037682.21,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C016802,Kabir Chopra,c016802@mail.com,South,Consumer,2025-11-25,37,11,1037496.39,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C001299,Tanvi Yadav,c001299@mail.com,West,Home Office,2025-08-11,143,8,1036923.7100000001,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C011896,Arjun Chopra,c011896@mail.com,North,Consumer,2025-12-02,30,9,1036487.02,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C003845,Rohan Saxena,c003845@mail.com,Central,Corporate,2025-11-23,39,7,1035720.9,4,4,5,445,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C013480,Rohan Singh,c013480@mail.com,Central,Consumer,2025-09-01,122,12,1032600.48,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C006167,Neha Bose,c006167@mail.com,East,Consumer,2025-11-26,36,8,1031163.76,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015032,Aditya Roy,c015032@mail.com,East,Corporate,2025-12-23,9,9,1029028.47,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004993,Neha Kulkarni,c004993@mail.com,West,Consumer,2025-11-20,42,8,1028574.66,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C003975,Rohan Khan,c003975@mail.com,North,Home Office,2025-09-15,108,12,1028141.35,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C001260,Arjun Chopra,c001260@mail.com,Central,Consumer,2025-12-27,5,12,1027669.5,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014849,Nikhil Singh,c014849@mail.com,South,Corporate,2025-12-09,23,9,1026701.65,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008016,Vivaan Iyer,c008016@mail.com,South,Consumer,2025-12-15,17,11,1026369.88,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011076,Vivaan Jain,c011076@mail.com,South,Consumer,2025-11-13,49,10,1026142.73,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019888,Neha Verma,c019888@mail.com,West,Home Office,2025-11-19,43,9,1024790.7,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C009169,Arjun Khan,c009169@mail.com,North,Consumer,2025-12-04,28,10,1023775.62,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C002721,Diya Bhat,c002721@mail.com,East,Consumer,2025-11-12,50,9,1022816.07,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019542,Arjun Jain,c019542@mail.com,West,Corporate,2025-11-11,51,10,1022800.56,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018181,Neha Gupta,c018181@mail.com,South,Consumer,2025-11-26,36,12,1021742.92,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014992,Anaya Reddy,c014992@mail.com,North,Consumer,2025-12-24,8,10,1020526.12,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C006740,Anaya Khan,c006740@mail.com,South,Consumer,2025-11-24,38,9,1020396.31,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011360,Meera Sharma,c011360@mail.com,North,Consumer,2025-12-29,3,7,1019849.6000000001,5,4,5,545,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011589,Aarav Nair,c011589@mail.com,North,Home Office,2025-11-23,39,10,1019717.8200000001,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C004583,Riya Jain,c004583@mail.com,West,Corporate,2025-08-19,135,12,1018953.46,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C002640,Diya Patel,c002640@mail.com,North,Home Office,2025-12-31,1,12,1017453.53,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012821,Riya Reddy,c012821@mail.com,North,Corporate,2025-11-14,48,9,1015694.74,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011256,Nikhil Malhotra,c011256@mail.com,North,Corporate,2025-07-31,154,6,1015580.4299999999,2,4,5,245,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C017525,Saanvi Khan,c017525@mail.com,West,Corporate,2025-06-27,188,9,1014535.92,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C004360,Aditya Iyer,c004360@mail.com,West,Consumer,2025-11-28,34,14,1014177.7000000001,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000920,Neha Iyer,c000920@mail.com,East,Consumer,2025-11-25,37,10,1011599.51,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C010610,Rohan Kulkarni,c010610@mail.com,West,Consumer,2025-12-11,21,11,1011158.87,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C014436,Nikhil Saxena,c014436@mail.com,West,Consumer,2025-12-22,10,12,1010034.79,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011659,Meera Malhotra,c011659@mail.com,North,Consumer,2025-11-22,40,13,1007095.08,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019591,Riya Reddy,c019591@mail.com,North,Consumer,2025-12-04,28,9,1005008.89,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C012338,Neha Singh,c012338@mail.com,East,Consumer,2025-08-25,129,11,1004636.27,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C008665,Vivaan Kulkarni,c008665@mail.com,North,Home Office,2025-12-31,1,7,1004592.69,5,4,5,545,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C000572,Nikhil Saxena,c000572@mail.com,West,Corporate,2025-12-25,7,14,1002647.53,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019052,Saanvi Reddy,c019052@mail.com,North,Consumer,2025-11-24,38,9,1002631.09,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C008953,Anaya Singh,c008953@mail.com,South,Consumer,2025-11-12,50,7,1002121.7400000001,4,4,5,445,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C013714,Arjun Jain,c013714@mail.com,South,Consumer,2025-12-08,24,7,999822.26,4,4,5,445,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C019543,Arjun Gupta,c019543@mail.com,West,Corporate,2025-09-20,103,14,999626.1699999999,2,5,5,255,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C004867,Anaya Kulkarni,c004867@mail.com,South,Consumer,2025-11-11,51,11,998348.91,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C015444,Aarav Nair,c015444@mail.com,South,Consumer,2025-07-05,180,7,997838.17,2,4,5,245,At Risk,P1,"Urgent win-back campaign, targeted discount, category-specific offers"
C009204,Aditya Nair,c009204@mail.com,South,Consumer,2025-12-07,25,11,997407.1699999999,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C018147,Kiara Roy,c018147@mail.com,West,Consumer,2025-12-20,12,9,997192.81,5,5,5,555,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C011476,Aditya Singh,c011476@mail.com,North,Consumer,2025-11-24,38,11,996496.02,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
C013359,Nikhil Mehta,c013359@mail.com,South,Corporate,2025-11-16,46,8,995942.4000000001,4,5,5,455,Champions,P1,"VIP early access, premium cross-sell bundle, referral rewards"
