"order_id","order_date","customer_id","customer_name","region"
"O000056","2024-05-14","C00064","Isha Patel","Central"
"O000057","2025-03-08","C00146","Kabir Singh","South"
"O000058","2025-12-22","C00433","Arjun Iyer","East"
"O000059","2024-02-24","C00105","Vivaan Sharma","West"
"O000060","2024-08-21","C00140","Meera Reddy","South"
"O000061","2024-10-21","C00235","Neha Khan","North"
"O000062","2025-06-19","C00165","Neha Mehta","North"
"O000063","2024-07-12","C00405","Aarav Singh","East"
"O000064","2024-05-20","C00034","Isha Gupta","East"
"O000065","2024-06-19","C00004","Kiara Iyer","East"
"O000066","2025-04-02","C00109","Isha Gupta","North"
"O000067","2024-03-25","C00357","Anaya Das","South"
"O000068","2025-06-04","C00201","Rohan Das","West"
"O000069","2025-12-27","C00184","Aarav Patel","West"
"O000070","2024-10-20","C00079","Kabir Sharma","East"
"O000071","2024-12-24","C00243","Anaya Gupta","North"
"O000072","2025-11-26","C00213","Meera Sharma","Central"
"O000073","2024-09-11","C00338","Anaya Singh","South"
"O000074","2024-06-03","C00208","Kabir Gupta","North"
"O000075","2024-10-02","C00101","Rohan Singh","North"
"O000076","2025-10-01","C00280","Kiara Singh","East"
"O000077","2025-02-20","C00228","Isha Khan","South"
"O000078","2025-11-14","C00132","Aarav Singh","Central"
"O000079","2024-02-13","C00254","Kabir Verma","West"
"O000080","2025-05-31","C00058","Diya Das","North"
"O000081","2025-11-20","C00054","Anaya Gupta","West"
"O000082","2024-07-15","C00311","Kiara Nair","West"
"O000083","2025-06-17","C00166","Vivaan Das","South"
"O000084","2024-01-11","C00025","Vivaan Singh","South"
"O000085","2025-09-23","C00351","Rohan Singh","Central"
"O000086","2024-05-17","C00289","Vivaan Mehta","Central"
"O000087","2025-02-01","C00304","Meera Verma","North"
"O000088","2025-07-29","C00487","Diya Verma","North"
"O000089","2025-11-24","C00079","Kabir Sharma","East"
"O000090","2024-08-21","C00237","Arjun Verma","West"
"O000091","2025-11-19","C00427","Kiara Jain","Central"
"O000092","2025-04-08","C00018","Rahul Jain","West"
"O000093","2024-10-31","C00009","Anaya Sharma","South"
"O000094","2025-08-09","C00139","Anaya Iyer","West"
"O000095","2024-12-13","C00398","Kabir Sharma","South"
"O000096","2025-02-05","C00079","Kabir Sharma","East"
"O000097","2024-03-14","C00097","Diya Jain","East"
"O000098","2025-03-14","C00031","Diya Sharma","South"
"O000099","2024-01-30","C00400","Rahul Patel","West"
"O000100","2024-04-16","C00101","Rohan Singh","North"
"O000101","2024-07-11","C00209","Meera Verma","North"
"O000102","2025-05-23","C00093","Meera Verma","East"
"O000103","2024-05-24","C00260","Kiara Iyer","West"
"O000104","2024-11-05","C00168","Vivaan Patel","North"
"O000105","2025-01-30","C00070","Neha Khan","West"
"O000106","2025-08-31","C00068","Neha Mehta","North"
"O000107","2025-01-02","C00057","Rohan Jain","East"
"O000108","2024-05-27","C00414","Rahul Nair","East"
"O000109","2025-02-22","C00254","Kabir Verma","West"
"O000110","2025-04-05","C00106","Aarav Patel","Central"
"O000111","2024-10-13","C00429","Rohan Verma","Central"
"O000112","2024-01-19","C00182","Vivaan Das","East"
"O000113","2025-11-24","C00073","Kabir Nair","North"
"O000114","2025-12-04","C00279","Aarav Iyer","West"
"O000115","2025-04-27","C00279","Aarav Iyer","West"
"O000116","2024-10-08","C00041","Kabir Nair","East"
"O000117","2025-06-29","C00202","Arjun Patel","North"
"O000118","2024-04-21","C00308","Meera Gupta","Central"
"O000119","2025-04-02","C00078","Neha Singh","Central"
"O000120","2024-07-10","C00347","Vivaan Patel","South"
"O000121","2025-01-01","C00379","Vivaan Jain","North"
"O000122","2024-10-12","C00265","Kiara Das","North"
"O000123","2025-11-30","C00041","Kabir Nair","East"
"O000124","2024-11-27","C00352","Kiara Jain","East"
"O000125","2024-08-13","C00260","Kiara Iyer","West"
"O000126","2025-11-03","C00101","Rohan Singh","North"
"O000127","2025-08-29","C00265","Kiara Das","North"
"O000128","2025-06-29","C00150","Neha Iyer","Central"
"O000129","2024-04-26","C00261","Rohan Gupta","Central"
"O000130","2025-12-17","C00023","Diya Nair","East"
"O000131","2024-11-08","C00290","Aarav Khan","South"
"O000132","2025-11-12","C00437","Rohan Das","East"
"O000133","2024-11-01","C00478","Kiara Patel","West"
"O000134","2024-03-22","C00395","Kabir Iyer","North"
"O000135","2025-06-24","C00123","Neha Khan","North"
"O000136","2024-03-12","C00041","Kabir Nair","East"
"O000137","2024-05-21","C00176","Anaya Gupta","North"
"O000138","2024-02-01","C00271","Neha Patel","West"
"O000139","2025-02-04","C00152","Arjun Das","North"
"O000140","2024-08-19","C00118","Rahul Jain","Central"
"O000141","2025-05-14","C00486","Rahul Sharma","Central"
"O000142","2025-11-25","C00320","Rahul Patel","West"
"O000143","2025-02-10","C00475","Isha Mehta","South"
"O000144","2024-12-06","C00406","Diya Khan","South"
"O000145","2024-10-12","C00222","Arjun Das","East"
"O000146","2024-03-18","C00128","Vivaan Verma","East"
"O000147","2024-11-28","C00120","Isha Jain","South"
"O000148","2024-05-09","C00456","Isha Singh","South"
"O000149","2025-10-23","C00240","Meera Mehta","East"
"O000150","2025-11-06","C00020","Rahul Nair","North"
"O000151","2024-07-23","C00380","Vivaan Iyer","Central"
"O000152","2025-10-15","C00210","Neha Jain","Central"
"O000153","2025-06-24","C00253","Aarav Sharma","South"
"O000154","2024-02-27","C00468","Isha Jain","East"
"O000155","2024-12-08","C00391","Meera Patel","Central"
"O000156","2024-06-19","C00015","Vivaan Iyer","South"
"O000157","2025-12-28","C00310","Rohan Jain","Central"
"O000158","2024-04-20","C00355","Aarav Nair","South"
"O000159","2024-03-18","C00030","Anaya Patel","South"
"O000160","2024-05-16","C00323","Meera Iyer","Central"
"O000161","2025-02-12","C00116","Vivaan Jain","Central"
"O000162","2025-08-27","C00110","Aarav Nair","North"
"O000163","2024-12-05","C00165","Neha Mehta","North"
"O000164","2025-02-18","C00040","Diya Das","West"
"O000165","2024-12-19","C00143","Kabir Iyer","West"
"O000166","2025-07-18","C00474","Vivaan Sharma","Central"
"O000167","2025-03-10","C00202","Arjun Patel","North"
"O000168","2024-01-25","C00450","Neha Verma","South"
"O000169","2025-03-04","C00048","Diya Singh","South"
"O000170","2024-05-27","C00032","Rahul Das","West"
"O000171","2024-06-28","C00350","Rahul Sharma","East"
"O000172","2024-12-23","C00114","Neha Jain","Central"
"O000173","2024-04-24","C00343","Meera Patel","North"
"O000174","2024-04-08","C00152","Arjun Das","North"
"O000175","2024-11-27","C00051","Kiara Das","Central"
"O000176","2024-09-25","C00082","Diya Nair","North"
"O000177","2024-12-03","C00304","Meera Verma","North"
"O000178","2024-09-11","C00471","Rahul Patel","North"
"O000179","2024-11-29","C00103","Rahul Gupta","North"
"O000180","2024-12-14","C00380","Vivaan Iyer","Central"
"O000181","2025-02-15","C00193","Arjun Singh","Central"
"O000182","2024-10-19","C00209","Meera Verma","North"
"O000183","2024-03-29","C00263","Kiara Nair","West"
"O000184","2024-08-09","C00273","Kiara Verma","Central"
"O000185","2024-04-16","C00151","Vivaan Iyer","South"
"O000186","2024-07-07","C00464","Diya Iyer","South"
"O000187","2024-06-10","C00071","Anaya Das","South"
"O000188","2024-11-15","C00008","Rahul Iyer","South"
"O000189","2025-11-21","C00123","Neha Khan","North"
"O000190","2025-07-15","C00464","Diya Iyer","South"
"O000191","2025-10-22","C00033","Vivaan Mehta","North"
"O000192","2025-09-11","C00055","Vivaan Jain","South"
"O000193","2024-01-18","C00380","Vivaan Iyer","Central"
"O000194","2025-08-10","C00147","Kabir Gupta","North"
"O000195","2024-12-14","C00234","Rohan Verma","South"
"O000196","2024-02-23","C00148","Vivaan Das","South"
"O000197","2025-06-20","C00078","Neha Singh","Central"
"O000198","2024-01-21","C00299","Rohan Verma","Central"
"O000199","2024-06-09","C00371","Kabir Jain","North"
"O000200","2024-03-23","C00471","Rahul Patel","North"
"O000201","2024-03-12","C00190","Isha Reddy","West"
"O000202","2024-03-17","C00167","Vivaan Singh","North"
"O000203","2024-07-02","C00043","Neha Patel","South"
"O000204","2024-10-04","C00102","Vivaan Mehta","West"
"O000205","2025-11-25","C00172","Meera Gupta","North"
"O000206","2025-02-07","C00330","Arjun Nair","Central"
"O000207","2024-05-31","C00197","Arjun Nair","North"
"O000208","2025-08-20","C00190","Isha Reddy","West"
"O000209","2024-03-22","C00315","Isha Sharma","South"
"O000210","2024-01-29","C00203","Anaya Gupta","West"
"O000211","2024-07-11","C00052","Meera Mehta","Central"
"O000212","2025-11-23","C00298","Neha Iyer","South"
"O000213","2025-01-01","C00156","Meera Gupta","South"
"O000214","2025-12-31","C00361","Rohan Iyer","North"
"O000215","2025-04-08","C00401","Meera Mehta","East"
"O000216","2025-05-23","C00372","Isha Khan","West"
"O000217","2024-06-30","C00217","Rohan Iyer","North"
"O000218","2025-11-02","C00443","Vivaan Gupta","Central"
"O000219","2025-04-15","C00428","Isha Das","Central"
"O000220","2025-07-29","C00492","Neha Iyer","Central"
"O000221","2024-01-27","C00364","Vivaan Das","South"
"O000222","2025-07-12","C00008","Rahul Iyer","South"
"O000223","2025-12-05","C00244","Kiara Verma","North"
"O000224","2025-04-02","C00356","Neha Iyer","East"
"O000225","2024-08-12","C00223","Arjun Jain","Central"
"O000226","2024-08-28","C00433","Arjun Iyer","East"
"O000227","2025-05-15","C00249","Kabir Khan","North"
"O000228","2024-05-17","C00150","Neha Iyer","Central"
"O000229","2024-03-05","C00254","Kabir Verma","West"
"O000230","2025-08-08","C00026","Kiara Jain","North"
"O000231","2024-04-27","C00103","Rahul Gupta","North"
"O000232","2024-01-08","C00170","Aarav Gupta","West"
"O000233","2024-09-14","C00353","Anaya Mehta","South"
"O000234","2025-11-09","C00349","Aarav Iyer","North"
"O000235","2024-09-12","C00019","Arjun Singh","East"
"O000236","2024-02-28","C00221","Aarav Reddy","West"
"O000237","2024-07-21","C00125","Rohan Das","North"
"O000238","2024-07-16","C00469","Aarav Jain","South"
"O000239","2024-06-14","C00309","Rohan Sharma","East"
"O000240","2024-05-04","C00014","Isha Reddy","North"
"O000241","2025-11-06","C00248","Anaya Singh","East"
"O000242","2025-03-06","C00497","Isha Iyer","West"
"O000243","2025-11-04","C00268","Aarav Mehta","North"
"O000244","2025-05-06","C00137","Kiara Mehta","South"
"O000245","2025-05-03","C00200","Arjun Nair","North"
"O000246","2025-06-21","C00107","Kiara Jain","South"
"O000247","2024-05-18","C00251","Neha Gupta","South"
"O000248","2025-08-02","C00090","Isha Nair","West"
"O000249","2025-11-03","C00018","Rahul Jain","West"
"O000250","2025-09-23","C00140","Meera Reddy","South"
"O000251","2025-11-26","C00109","Isha Gupta","North"
"O000252","2024-12-27","C00041","Kabir Nair","East"
"O000253","2024-09-09","C00441","Rahul Nair","South"
"O000254","2024-04-03","C00048","Diya Singh","South"
"O000255","2025-03-17","C00019","Arjun Singh","East"
"O000256","2024-06-22","C00167","Vivaan Singh","North"
"O000257","2025-11-14","C00309","Rohan Sharma","East"
"O000258","2025-09-08","C00216","Kiara Verma","West"
"O000259","2024-06-19","C00481","Anaya Sharma","North"
"O000260","2025-09-28","C00320","Rahul Patel","West"
"O000261","2024-07-12","C00437","Rohan Das","East"
"O000262","2025-06-14","C00485","Vivaan Iyer","East"
"O000263","2025-05-08","C00060","Diya Singh","South"
"O000264","2024-03-30","C00128","Vivaan Verma","East"
"O000265","2025-12-24","C00250","Aarav Nair","North"
"O000266","2024-12-21","C00227","Aarav Nair","Central"
"O000267","2024-11-03","C00289","Vivaan Mehta","Central"
"O000268","2024-10-21","C00417","Arjun Jain","Central"
"O000269","2024-09-27","C00348","Isha Gupta","Central"
"O000270","2024-11-10","C00246","Arjun Iyer","Central"
"O000271","2025-05-27","C00443","Vivaan Gupta","Central"
"O000272","2024-01-05","C00205","Anaya Patel","West"
"O000273","2025-09-07","C00107","Kiara Jain","South"
"O000274","2025-04-26","C00234","Rohan Verma","South"
"O000275","2025-07-11","C00087","Kabir Nair","Central"
"O000276","2024-11-28","C00128","Vivaan Verma","East"
"O000277","2025-09-30","C00257","Diya Iyer","South"
"O000278","2025-09-11","C00439","Diya Reddy","South"
"O000279","2024-04-20","C00427","Kiara Jain","Central"
"O000280","2024-06-30","C00423","Kiara Das","Central"
"O000281","2025-06-30","C00184","Aarav Patel","West"
"O000282","2025-07-01","C00038","Rohan Das","Central"
"O000283","2024-06-24","C00362","Arjun Sharma","North"
"O000284","2025-01-02","C00334","Kiara Patel","East"
"O000285","2024-03-28","C00250","Aarav Nair","North"
"O000286","2024-08-05","C00013","Aarav Mehta","Central"
"O000287","2025-01-12","C00001","Diya Sharma","South"
"O000288","2024-09-27","C00434","Kabir Nair","South"
"O000289","2024-04-11","C00379","Vivaan Jain","North"
"O000290","2024-03-27","C00451","Aarav Mehta","Central"
"O000291","2024-09-23","C00323","Meera Iyer","Central"
"O000292","2024-11-02","C00401","Meera Mehta","East"
"O000293","2025-03-17","C00374","Vivaan Reddy","North"
"O000294","2025-10-14","C00080","Kabir Verma","North"
"O000295","2024-03-20","C00100","Anaya Nair","Central"
"O000296","2024-09-16","C00143","Kabir Iyer","West"
"O000297","2025-11-14","C00436","Arjun Gupta","South"
"O000298","2025-10-12","C00048","Diya Singh","South"
"O000299","2025-08-04","C00003","Aarav Iyer","North"
"O000300","2024-02-21","C00069","Isha Gupta","North"
"O000301","2025-09-25","C00290","Aarav Khan","South"
"O000302","2024-02-23","C00347","Vivaan Patel","South"
"O000303","2024-04-16","C00098","Neha Das","East"
"O000304","2024-08-16","C00468","Isha Jain","East"
"O000305","2024-03-29","C00439","Diya Reddy","South"
"O000306","2025-08-25","C00293","Rohan Gupta","Central"
"O000307","2024-02-07","C00336","Rohan Jain","South"
"O000308","2024-07-27","C00046","Kabir Gupta","Central"
"O000309","2024-02-10","C00160","Arjun Khan","Central"
"O000310","2024-08-24","C00084","Kabir Nair","East"
"O000311","2024-04-29","C00133","Rahul Mehta","Central"
"O000312","2025-10-16","C00186","Diya Reddy","East"
"O000313","2024-08-30","C00248","Anaya Singh","East"
"O000314","2025-06-24","C00495","Diya Iyer","South"
"O000315","2025-12-20","C00285","Anaya Sharma","North"
"O000316","2025-11-08","C00159","Diya Patel","South"
"O000317","2024-02-13","C00296","Kabir Iyer","South"
"O000318","2024-08-04","C00128","Vivaan Verma","East"
"O000319","2024-12-11","C00361","Rohan Iyer","North"
"O000320","2024-01-15","C00022","Diya Singh","North"
"O000321","2025-12-21","C00444","Diya Mehta","North"
"O000322","2024-07-09","C00320","Rahul Patel","West"
"O000323","2025-05-06","C00431","Aarav Iyer","North"
"O000324","2025-02-25","C00418","Meera Verma","North"
"O000325","2025-11-29","C00022","Diya Singh","North"
"O000326","2025-06-02","C00117","Neha Patel","West"
"O000327","2024-07-01","C00240","Meera Mehta","East"
"O000328","2024-07-26","C00121","Rohan Das","Central"
"O000329","2025-09-27","C00161","Aarav Iyer","North"
"O000330","2024-08-30","C00004","Kiara Iyer","East"
"O000331","2025-07-30","C00042","Vivaan Mehta","Central"
"O000332","2024-03-01","C00354","Rahul Verma","East"
"O000333","2024-06-24","C00215","Rahul Jain","North"
"O000334","2025-03-24","C00479","Meera Nair","East"
"O000335","2025-05-16","C00158","Meera Sharma","North"
"O000336","2025-08-14","C00339","Anaya Singh","West"
"O000337","2024-10-01","C00169","Anaya Nair","East"
"O000338","2025-09-28","C00049","Neha Nair","North"
"O000339","2024-09-01","C00140","Meera Reddy","South"
"O000340","2024-02-14","C00338","Anaya Singh","South"
"O000341","2024-12-12","C00380","Vivaan Iyer","Central"
"O000342","2025-08-17","C00391","Meera Patel","Central"
"O000343","2024-08-04","C00329","Kiara Verma","East"
"O000344","2024-01-07","C00096","Arjun Khan","North"
"O000345","2025-07-14","C00040","Diya Das","West"
"O000346","2024-08-16","C00302","Arjun Reddy","West"
"O000347","2024-09-15","C00249","Kabir Khan","North"
"O000348","2024-01-30","C00159","Diya Patel","South"
"O000349","2025-11-24","C00495","Diya Iyer","South"
"O000350","2024-10-13","C00393","Aarav Iyer","West"
"O000351","2024-07-07","C00135","Kiara Mehta","North"
"O000352","2024-12-13","C00353","Anaya Mehta","South"
"O000353","2025-03-11","C00447","Isha Mehta","East"
"O000354","2024-05-13","C00363","Vivaan Iyer","North"
"O000355","2024-06-13","C00282","Neha Patel","South"
"O000356","2024-09-20","C00464","Diya Iyer","South"
"O000357","2024-01-07","C00266","Anaya Iyer","East"
"O000358","2025-07-07","C00178","Rahul Nair","North"
"O000359","2024-01-08","C00458","Isha Gupta","West"
"O000360","2025-08-28","C00158","Meera Sharma","North"
"O000361","2024-04-06","C00494","Rahul Gupta","North"
"O000362","2025-09-03","C00421","Aarav Singh","West"
"O000363","2025-07-08","C00332","Anaya Reddy","North"
"O000364","2024-07-20","C00014","Isha Reddy","North"
"O000365","2025-05-06","C00039","Vivaan Verma","North"
"O000366","2024-09-30","C00125","Rohan Das","North"
"O000367","2024-12-27","C00046","Kabir Gupta","Central"
"O000368","2024-11-15","C00287","Isha Das","Central"
"O000369","2024-12-19","C00495","Diya Iyer","South"
"O000370","2024-06-15","C00066","Rahul Sharma","East"
"O000371","2025-03-29","C00134","Isha Patel","East"
"O000372","2025-07-12","C00404","Vivaan Das","Central"
"O000373","2024-10-21","C00211","Rahul Das","West"
"O000374","2025-12-09","C00445","Meera Iyer","North"
"O000375","2024-07-08","C00022","Diya Singh","North"
"O000376","2025-09-05","C00315","Isha Sharma","South"
"O000377","2024-10-28","C00474","Vivaan Sharma","Central"
"O000378","2024-04-04","C00097","Diya Jain","East"
"O000379","2025-05-02","C00142","Vivaan Iyer","East"
"O000380","2025-03-10","C00303","Kabir Patel","North"
"O000381","2024-11-13","C00139","Anaya Iyer","West"
"O000382","2024-10-16","C00011","Rohan Khan","South"
"O000383","2024-03-14","C00129","Kabir Gupta","Central"
"O000384","2025-12-24","C00266","Anaya Iyer","East"
"O000385","2025-08-25","C00346","Anaya Verma","South"
"O000386","2024-12-22","C00095","Meera Singh","East"
"O000387","2024-03-03","C00401","Meera Mehta","East"
"O000388","2024-02-24","C00127","Vivaan Patel","West"
"O000389","2025-11-16","C00131","Meera Nair","East"
"O000390","2025-09-27","C00490","Isha Iyer","East"
"O000391","2025-02-10","C00279","Aarav Iyer","West"
"O000392","2025-04-23","C00286","Anaya Nair","West"
"O000393","2025-09-06","C00478","Kiara Patel","West"
"O000394","2024-06-22","C00467","Rohan Khan","Central"
"O000395","2024-03-19","C00450","Neha Verma","South"
"O000396","2025-02-11","C00482","Aarav Singh","South"
"O000397","2024-03-27","C00331","Aarav Iyer","South"
"O000398","2025-07-14","C00091","Meera Das","East"
"O000399","2024-03-06","C00395","Kabir Iyer","North"
"O000400","2024-01-07","C00152","Arjun Das","North"
"O000401","2025-03-29","C00160","Arjun Khan","Central"
"O000402","2025-08-06","C00159","Diya Patel","South"
"O000403","2024-05-26","C00087","Kabir Nair","Central"
"O000404","2024-10-08","C00317","Meera Das","North"
"O000405","2025-03-05","C00253","Aarav Sharma","South"
"O000406","2024-12-18","C00023","Diya Nair","East"
"O000407","2025-04-28","C00202","Arjun Patel","North"
"O000408","2024-10-08","C00458","Isha Gupta","West"
"O000409","2024-11-18","C00404","Vivaan Das","Central"
"O000410","2024-05-09","C00240","Meera Mehta","East"
"O000411","2025-09-30","C00467","Rohan Khan","Central"
"O000412","2025-06-12","C00155","Vivaan Nair","South"
"O000413","2024-11-28","C00229","Neha Gupta","Central"
"O000414","2025-02-12","C00477","Meera Singh","North"
"O000415","2025-12-30","C00131","Meera Nair","East"
"O000416","2024-02-23","C00154","Rohan Iyer","Central"
"O000417","2024-12-24","C00202","Arjun Patel","North"
"O000418","2024-01-05","C00079","Kabir Sharma","East"
"O000419","2025-10-17","C00466","Rohan Singh","South"
"O000420","2025-07-13","C00080","Kabir Verma","North"
"O000421","2025-10-10","C00053","Vivaan Nair","South"
"O000422","2024-06-02","C00214","Kiara Das","West"
"O000423","2024-01-27","C00318","Arjun Sharma","North"
"O000424","2025-08-24","C00158","Meera Sharma","North"
"O000425","2024-07-03","C00004","Kiara Iyer","East"
"O000426","2024-07-02","C00387","Aarav Singh","Central"
"O000427","2025-05-19","C00039","Vivaan Verma","North"
"O000428","2025-08-04","C00410","Arjun Jain","East"
"O000429","2025-05-08","C00493","Kiara Patel","East"
"O000430","2025-10-03","C00410","Arjun Jain","East"
"O000431","2025-02-15","C00182","Vivaan Das","East"
"O000432","2025-01-23","C00464","Diya Iyer","South"
"O000433","2025-08-04","C00129","Kabir Gupta","Central"
"O000434","2025-06-23","C00393","Aarav Iyer","West"
"O000435","2025-11-08","C00340","Rohan Khan","East"
"O000436","2024-04-24","C00037","Kabir Das","East"
"O000437","2025-05-11","C00500","Diya Verma","North"
"O000438","2025-10-26","C00455","Kabir Singh","North"
"O000439","2025-01-18","C00045","Kiara Reddy","South"
"O000440","2025-01-27","C00062","Meera Jain","West"
"O000441","2024-04-22","C00109","Isha Gupta","North"
"O000442","2024-04-11","C00157","Anaya Singh","North"
"O000443","2025-02-07","C00228","Isha Khan","South"
"O000444","2024-12-07","C00460","Arjun Verma","East"
"O000445","2024-07-09","C00034","Isha Gupta","East"
"O000446","2025-07-14","C00242","Kiara Verma","West"
"O000447","2025-01-31","C00279","Aarav Iyer","West"
"O000448","2024-06-22","C00182","Vivaan Das","East"
"O000449","2025-11-08","C00124","Rahul Verma","Central"
"O000450","2024-04-16","C00225","Diya Mehta","North"
"O000451","2024-11-13","C00350","Rahul Sharma","East"
"O000452","2024-09-29","C00391","Meera Patel","Central"
"O000453","2024-11-15","C00475","Isha Mehta","South"
"O000454","2024-06-16","C00148","Vivaan Das","South"
"O000455","2024-07-12","C00077","Anaya Verma","North"
"O000456","2024-04-22","C00124","Rahul Verma","Central"
"O000457","2024-08-03","C00116","Vivaan Jain","Central"
"O000458","2025-07-02","C00422","Vivaan Gupta","Central"
"O000459","2024-11-20","C00444","Diya Mehta","North"
"O000460","2024-01-25","C00068","Neha Mehta","North"
"O000461","2024-06-07","C00458","Isha Gupta","West"
"O000462","2025-11-06","C00001","Diya Sharma","South"
"O000463","2025-09-09","C00229","Neha Gupta","Central"
"O000464","2025-03-30","C00143","Kabir Iyer","West"
"O000465","2025-12-27","C00076","Anaya Nair","South"
"O000466","2024-10-03","C00350","Rahul Sharma","East"
"O000467","2024-12-16","C00317","Meera Das","North"
"O000468","2025-07-21","C00131","Meera Nair","East"
"O000469","2025-12-12","C00117","Neha Patel","West"
"O000470","2024-01-31","C00033","Vivaan Mehta","North"
"O000471","2024-05-13","C00378","Isha Sharma","West"
"O000472","2024-04-08","C00253","Aarav Sharma","South"
"O000473","2024-10-13","C00204","Rahul Gupta","South"
"O000474","2025-12-05","C00251","Neha Gupta","South"
"O000475","2025-10-20","C00281","Isha Sharma","East"
"O000476","2024-10-20","C00083","Anaya Nair","Central"
"O000477","2025-06-23","C00499","Diya Nair","South"
"O000478","2024-11-27","C00419","Rohan Verma","Central"
"O000479","2025-06-28","C00356","Neha Iyer","East"
"O000480","2025-01-19","C00307","Neha Jain","East"
"O000481","2024-08-19","C00037","Kabir Das","East"
"O000482","2025-03-14","C00304","Meera Verma","North"
"O000483","2025-10-14","C00073","Kabir Nair","North"
"O000484","2025-08-07","C00011","Rohan Khan","South"
"O000485","2024-06-03","C00242","Kiara Verma","West"
"O000486","2025-06-07","C00473","Anaya Reddy","North"
"O000487","2024-06-09","C00014","Isha Reddy","North"
"O000488","2025-10-25","C00259","Vivaan Sharma","East"
"O000489","2025-05-21","C00063","Rahul Khan","Central"
"O000490","2025-03-03","C00230","Rahul Gupta","North"
"O000491","2025-03-26","C00293","Rohan Gupta","Central"
"O000492","2025-01-23","C00031","Diya Sharma","South"
"O000493","2024-12-14","C00496","Rohan Reddy","West"
"O000494","2024-02-12","C00117","Neha Patel","West"
"O000495","2024-11-15","C00440","Kiara Gupta","East"
"O000496","2024-10-06","C00250","Aarav Nair","North"
"O000497","2024-11-28","C00429","Rohan Verma","Central"
"O000498","2024-10-09","C00481","Anaya Sharma","North"
"O000499","2024-05-02","C00136","Kiara Iyer","Central"
"O000500","2024-06-25","C00436","Arjun Gupta","South"
"O000501","2025-11-23","C00207","Anaya Das","West"
"O000502","2024-09-11","C00377","Rahul Gupta","East"
"O000503","2024-10-09","C00338","Anaya Singh","South"
"O000504","2024-07-06","C00292","Kabir Sharma","West"
"O000505","2024-11-17","C00151","Vivaan Iyer","South"
"O000506","2024-03-04","C00474","Vivaan Sharma","Central"
"O000507","2025-03-03","C00191","Neha Sharma","North"
"O000508","2024-03-16","C00428","Isha Das","Central"
"O000509","2025-06-06","C00313","Kabir Khan","South"
"O000510","2024-06-26","C00330","Arjun Nair","Central"
