customer_id,customer_name,email,region,city,signup_date,segment,lifetime_value,order_frequency,avg_order_value,total_profit,first_order_date,last_order_date,customer_tenure_days
C000023,Rahul Iyer,c000023@mail.com,Central,Nagpur,2023-09-15,Consumer,580972.3500000001,6.0,96828.72500000002,209587.96000000002,2024-01-15,2025-11-10,665.0
C000024,Nikhil Gupta,c000024@mail.com,Central,Bhopal,2024-10-29,Consumer,514349.75,7.0,73478.53571428571,173397.67,2024-04-16,2025-06-08,418.0
C000025,Pooja Mehta,c000025@mail.com,West,Pune,2024-04-19,Corporate,432482.49999999994,6.0,72080.41666666666,124265.12,2024-03-05,2025-11-30,635.0
C000026,Tanvi Bose,c000026@mail.com,North,Delhi,2023-03-12,Corporate,299309.77,6.0,49884.96166666667,108529.66,2024-01-15,2025-11-11,666.0
C000027,Pooja Sharma,c000027@mail.com,East,Kolkata,2024-05-21,Corporate,623066.79,7.0,89009.54142857144,194766.32,2024-01-19,2025-11-20,671.0
C000028,Rohan Patel,c000028@mail.com,North,Delhi,2023-08-28,Consumer,248098.09999999998,4.0,62024.524999999994,92385.81999999999,2024-02-11,2025-07-15,520.0
C000029,Aditya Sharma,c000029@mail.com,North,Chandigarh,2022-09-26,Consumer,452476.48,7.0,64639.49714285714,144527.67,2024-02-25,2025-09-24,577.0
C000030,Aarav Singh,c000030@mail.com,West,Mumbai,2022-01-26,Consumer,301714.52,3.0,100571.50666666667,97973.0,2024-07-03,2024-12-28,178.0
C000031,Saanvi Bhat,c000031@mail.com,West,Ahmedabad,2022-01-05,Corporate,553521.5700000001,5.0,110704.31400000001,163168.16000000003,2024-01-19,2025-08-10,569.0
C000032,Vivaan Singh,c000032@mail.com,Central,Indore,2022-09-27,Consumer,399646.51,7.0,57092.35857142857,122804.6,2024-02-20,2025-07-10,506.0
C000033,Vivaan Iyer,c000033@mail.com,South,Bengaluru,2024-09-09,Corporate,186178.37,5.0,37235.674,71728.96,2024-12-12,2025-10-08,300.0
C000034,Isha Mehta,c000034@mail.com,South,Hyderabad,2023-07-11,Consumer,312256.47,4.0,78064.1175,124881.39000000001,2024-02-14,2025-09-24,588.0
C000035,Aditya Verma,c000035@mail.com,East,Bhubaneswar,2023-06-27,Consumer,509925.97,7.0,72846.56714285714,216765.12,2024-03-06,2025-11-05,609.0
C000036,Isha Saxena,c000036@mail.com,North,Delhi,2023-04-24,Consumer,159518.63999999998,4.0,39879.659999999996,34777.19999999998,2024-09-08,2025-06-27,292.0
C000037,Vivaan Bose,c000037@mail.com,North,Delhi,2022-11-04,Consumer,349513.91,7.0,49930.55857142857,90806.40999999997,2024-01-03,2025-09-02,608.0
C000038,Aditya Verma,c000038@mail.com,East,Bhubaneswar,2024-05-07,Consumer,256982.3,4.0,64245.575,79060.46999999999,2024-01-01,2025-12-09,708.0
C000039,Tanvi Chopra,c000039@mail.com,South,Hyderabad,2022-01-16,Consumer,1104939.88,11.0,100449.07999999999,390476.63,2024-03-12,2025-12-18,646.0
C000040,Kiara Sharma,c000040@mail.com,West,Mumbai,2024-01-05,Corporate,661822.3600000001,14.0,47273.02571428572,176276.71000000002,2024-04-21,2025-12-02,590.0
C000041,Varun Bose,c000041@mail.com,South,Bengaluru,2025-01-29,Consumer,379158.05,4.0,94789.5125,131393.91999999998,2024-02-26,2025-02-21,361.0
C000042,Nitya Yadav,c000042@mail.com,West,Ahmedabad,2024-11-22,Corporate,167526.16,5.0,33505.232,60780.03,2024-01-21,2025-12-03,682.0
C000043,Meera Gupta,c000043@mail.com,West,Mumbai,2023-03-20,Home Office,660635.14,8.0,82579.3925,263606.21,2024-01-12,2025-10-26,653.0
C000044,Isha Khan,c000044@mail.com,South,Hyderabad,2024-10-22,Home Office,570284.85,9.0,63364.98333333333,192214.06000000003,2024-04-17,2025-12-11,603.0
C000045,Neha Jain,c000045@mail.com,West,Pune,2022-10-13,Consumer,277321.83999999997,7.0,39617.40571428571,70161.17,2024-01-04,2025-06-06,519.0
C000046,Pooja Das,c000046@mail.com,West,Pune,2022-10-17,Consumer,456330.62,6.0,76055.10333333333,201612.71,2024-05-18,2025-11-14,545.0
C000047,Meera Sharma,c000047@mail.com,South,Hyderabad,2023-02-17,Consumer,399501.63,8.0,49937.70375,96894.36000000002,2024-03-14,2025-12-05,631.0
C000048,Isha Khan,c000048@mail.com,South,Bengaluru,2022-01-22,Home Office,459875.05,8.0,57484.38125,157426.04,2024-01-11,2025-11-21,680.0
C000049,Kabir Saxena,c000049@mail.com,West,Pune,2022-11-15,Home Office,381899.08,4.0,95474.77,69655.37000000001,2024-07-14,2025-07-22,373.0
C000050,Tanvi Das,c000050@mail.com,North,Jaipur,2024-10-22,Home Office,194935.84,3.0,64978.613333333335,89589.87,2024-06-25,2025-04-01,280.0
C000051,Aarav Singh,c000051@mail.com,North,Jaipur,2024-07-03,Corporate,392111.14,6.0,65351.85666666667,106868.81999999999,2025-01-06,2025-12-28,356.0
C000052,Meera Mehta,c000052@mail.com,North,Chandigarh,2023-01-30,Corporate,477190.47,8.0,59648.80875,156766.25000000003,2024-05-19,2025-10-23,522.0
C000053,Rohan Das,c000053@mail.com,West,Mumbai,2023-01-10,Consumer,492548.72,8.0,61568.59,155384.71,2024-03-10,2025-12-11,641.0
C000054,Rohan Nair,c000054@mail.com,West,Ahmedabad,2023-02-21,Consumer,432878.51,6.0,72146.41833333333,164428.14,2024-01-14,2025-12-20,706.0
C000055,Nikhil Nair,c000055@mail.com,West,Pune,2022-05-23,Consumer,95048.28,1.0,95048.28,17108.440000000002,2025-07-19,2025-07-19,1.0
C000056,Saanvi Roy,c000056@mail.com,West,Pune,2022-07-10,Consumer,321836.27,4.0,80459.0675,92640.96,2024-02-24,2025-06-17,479.0
C000057,Isha Jain,c000057@mail.com,South,Chennai,2025-04-06,Consumer,456701.73,6.0,76116.955,181721.76,2024-01-28,2025-08-15,565.0
C000058,Nikhil Malhotra,c000058@mail.com,East,Patna,2024-04-11,Corporate,486038.86,9.0,54004.317777777775,159007.42,2024-05-16,2025-09-08,480.0
C000059,Diya Roy,c000059@mail.com,North,Delhi,2024-03-24,Consumer,447954.43999999994,5.0,89590.88799999999,155061.75999999998,2024-03-02,2025-07-23,508.0
C000060,Varun Verma,c000060@mail.com,North,Chandigarh,2022-12-03,Consumer,482835.19,4.0,120708.7975,128651.86000000002,2024-01-24,2025-11-12,658.0
C000061,Arjun Khan,c000061@mail.com,West,Pune,2024-10-24,Consumer,445102.9,4.0,111275.725,159852.94,2024-10-11,2025-06-17,249.0
C000062,Kabir Gupta,c000062@mail.com,East,Patna,2022-08-01,Consumer,287715.58999999997,4.0,71928.89749999999,77702.79999999999,2024-01-02,2024-07-04,184.0
C000063,Arjun Das,c000063@mail.com,East,Kolkata,2025-03-08,Consumer,293890.43,2.0,146945.215,104626.70000000001,2025-03-12,2025-11-15,248.0
C000064,Diya Khan,c000064@mail.com,West,Pune,2023-08-28,Corporate,405515.92,6.0,67585.98666666666,147036.07,2024-03-31,2025-06-27,453.0
C000065,Aditya Nair,c000065@mail.com,East,Patna,2023-02-01,Consumer,109934.45000000001,3.0,36644.81666666667,49821.21000000001,2024-09-09,2025-12-03,450.0
C000066,Nikhil Reddy,c000066@mail.com,East,Bhubaneswar,2024-06-19,Consumer,988979.7899999999,7.0,141282.82714285713,358551.85,2024-02-04,2025-12-18,683.0
C000067,Neha Gupta,c000067@mail.com,East,Bhubaneswar,2023-05-16,Consumer,410358.35,4.0,102589.5875,130519.34,2024-01-07,2025-11-06,669.0
C000068,Aarav Roy,c000068@mail.com,South,Hyderabad,2022-11-20,Consumer,252863.39999999997,6.0,42143.899999999994,97623.52999999998,2024-05-12,2025-10-07,513.0
C000069,Pooja Khan,c000069@mail.com,North,Delhi,2024-03-31,Corporate,159510.99,4.0,39877.7475,60187.3,2024-07-23,2025-08-12,385.0
C000070,Nikhil Iyer,c000070@mail.com,South,Chennai,2024-05-16,Consumer,482512.37,7.0,68930.33857142857,159322.68,2024-11-30,2025-10-09,313.0
C000071,Vivaan Iyer,c000071@mail.com,North,Chandigarh,2023-12-25,Consumer,234501.59000000003,7.0,33500.22714285715,92449.61,2024-03-02,2025-11-17,625.0
C000072,Riya Das,c000072@mail.com,South,Bengaluru,2023-07-09,Consumer,684219.14,10.0,68421.914,230433.83,2024-02-15,2025-11-06,630.0
C000073,Tanvi Iyer,c000073@mail.com,West,Mumbai,2023-01-30,Consumer,106874.74,3.0,35624.91333333334,44815.19000000001,2025-04-04,2025-12-15,255.0
C000074,Arjun Kulkarni,c000074@mail.com,South,Hyderabad,2023-04-30,Consumer,422708.05,4.0,105677.0125,111541.23000000001,2024-07-25,2024-12-09,137.0
C000075,Saanvi Gupta,c000075@mail.com,North,Jaipur,2024-11-15,Consumer,561121.67,5.0,112224.334,198508.27000000002,2024-08-21,2025-10-14,419.0
C000076,Aarav Kulkarni,c000076@mail.com,South,Hyderabad,2023-03-08,Home Office,626727.91,8.0,78340.98875,217047.15999999997,2024-02-11,2025-07-27,532.0
C000077,Meera Kulkarni,c000077@mail.com,South,Hyderabad,2025-03-06,Home Office,362900.67,5.0,72580.13399999999,110588.57,2024-02-24,2025-10-26,610.0
C000078,Diya Nair,c000078@mail.com,West,Ahmedabad,2022-06-24,Consumer,121297.91,3.0,40432.636666666665,43574.6,2024-02-14,2024-12-11,301.0
C000079,Varun Bhat,c000079@mail.com,East,Kolkata,2022-07-15,Corporate,426852.45,6.0,71142.075,166948.54,2024-05-08,2025-11-22,563.0
C000080,Nitya Roy,c000080@mail.com,West,Pune,2023-02-04,Consumer,288290.23,7.0,41184.31857142857,84317.59,2024-07-07,2025-12-29,540.0
C000081,Neha Yadav,c000081@mail.com,West,Pune,2022-01-04,Home Office,578679.02,7.0,82668.43142857144,176997.37,2024-09-21,2025-12-31,466.0
C000082,Kiara Yadav,c000082@mail.com,South,Bengaluru,2024-11-21,Consumer,52106.549999999996,5.0,10421.31,19613.829999999994,2024-03-27,2025-12-03,616.0
C000083,Meera Kulkarni,c000083@mail.com,West,Ahmedabad,2023-02-13,Consumer,177907.55,1.0,177907.55,77713.19,2024-11-14,2024-11-14,1.0
C000084,Rahul Malhotra,c000084@mail.com,North,Jaipur,2022-05-03,Corporate,807818.99,12.0,67318.24916666666,260277.13,2024-05-30,2025-11-14,533.0
C000085,Neha Das,c000085@mail.com,North,Delhi,2024-01-13,Consumer,1054545.22,10.0,105454.522,386941.13,2024-01-30,2025-12-24,694.0
C000086,Rohan Patel,c000086@mail.com,North,Chandigarh,2025-02-23,Corporate,303072.22,6.0,50512.03666666666,74414.39000000001,2024-04-02,2025-04-29,392.0
C000087,Tanvi Malhotra,c000087@mail.com,West,Mumbai,2025-04-07,Consumer,415770.32,8.0,51971.29,130135.98000000003,2024-06-28,2025-12-14,534.0
C000088,Kiara Bhat,c000088@mail.com,East,Kolkata,2022-05-09,Consumer,134604.22999999998,4.0,33651.057499999995,53042.08,2024-04-14,2025-06-20,432.0
C000089,Kiara Bose,c000089@mail.com,North,Delhi,2024-08-09,Home Office,698571.64,11.0,63506.512727272726,270823.22000000003,2024-10-05,2025-11-11,402.0
C000090,Varun Roy,c000090@mail.com,East,Bhubaneswar,2023-03-11,Corporate,474595.29,8.0,59324.41125,156621.75999999998,2024-03-03,2025-10-21,597.0
C000091,Nitya Bose,c000091@mail.com,North,Delhi,2024-09-30,Consumer,57881.11,4.0,14470.2775,21201.480000000003,2024-06-24,2025-07-24,395.0
C000092,Arjun Gupta,c000092@mail.com,West,Pune,2023-12-29,Consumer,672887.66,7.0,96126.80857142857,251839.94000000003,2024-04-19,2025-10-12,541.0
C000093,Rahul Bhat,c000093@mail.com,South,Hyderabad,2024-05-28,Consumer,347831.44,3.0,115943.81333333334,102883.88999999998,2024-06-04,2025-05-18,348.0
C000094,Rahul Roy,c000094@mail.com,South,Chennai,2024-10-02,Home Office,704634.78,8.0,88079.3475,250314.38999999998,2024-01-03,2025-11-13,680.0
C000095,Anaya Patel,c000095@mail.com,South,Hyderabad,2024-12-10,Home Office,283577.76,5.0,56715.552,70271.25000000001,2024-07-02,2025-12-14,530.0
C000096,Pooja Mehta,c000096@mail.com,East,Bhubaneswar,2022-06-22,Consumer,481237.17000000004,6.0,80206.195,119626.93999999999,2024-03-05,2025-09-24,568.0
C000097,Nitya Sharma,c000097@mail.com,South,Hyderabad,2024-05-18,Consumer,180803.66999999998,4.0,45200.917499999996,46031.89,2024-07-03,2025-08-25,418.0
C000098,Aarav Nair,c000098@mail.com,North,Jaipur,2022-06-19,Home Office,88880.38,4.0,22220.095,26683.47,2024-01-02,2025-10-17,654.0
C000099,Saanvi Singh,c000099@mail.com,North,Jaipur,2025-02-06,Consumer,435879.13,8.0,54484.89125,175244.14,2024-01-24,2025-11-10,656.0
C000100,Kiara Roy,c000100@mail.com,Central,Nagpur,2024-01-25,Consumer,679560.13,5.0,135912.026,286952.04000000004,2024-10-20,2025-12-19,425.0
C000101,Aditya Bhat,c000101@mail.com,Central,Indore,2022-08-20,Consumer,544066.46,7.0,77723.78,191040.25,2024-03-15,2025-12-18,643.0
C000102,Arjun Nair,c000102@mail.com,West,Pune,2022-12-18,Consumer,407668.46,7.0,58238.351428571434,134346.22999999998,2024-10-14,2025-12-09,421.0
C000103,Kiara Bhat,c000103@mail.com,South,Hyderabad,2024-12-10,Consumer,88411.89,2.0,44205.945,25164.87,2024-03-06,2025-07-14,495.0
C000104,Nikhil Malhotra,c000104@mail.com,Central,Nagpur,2024-02-13,Corporate,275396.75999999995,3.0,91798.91999999998,76640.46999999997,2024-02-08,2024-09-14,219.0
C000105,Nikhil Jain,c000105@mail.com,West,Pune,2022-10-03,Home Office,298022.36,5.0,59604.471999999994,100594.53999999998,2024-04-04,2025-11-28,603.0
C000106,Kiara Chopra,c000106@mail.com,West,Mumbai,2024-09-11,Consumer,254002.87,4.0,63500.7175,91248.59,2024-03-05,2025-10-02,576.0
C000107,Rahul Patel,c000107@mail.com,South,Chennai,2024-05-11,Corporate,675457.02,7.0,96493.86,233954.05,2024-01-20,2025-12-31,711.0
C000108,Rohan Patel,c000108@mail.com,South,Hyderabad,2022-04-03,Consumer,93575.2,2.0,46787.6,32375.699999999993,2024-05-23,2024-06-03,11.0
C000109,Riya Patel,c000109@mail.com,North,Delhi,2022-12-06,Consumer,422167.23,5.0,84433.446,176141.42,2024-10-04,2025-08-10,310.0
C000110,Tanvi Malhotra,c000110@mail.com,Central,Nagpur,2024-10-10,Consumer,374151.35,8.0,46768.91875,129641.84,2024-04-13,2025-10-31,566.0
C000111,Riya Mehta,c000111@mail.com,South,Hyderabad,2023-02-25,Consumer,387550.57999999996,5.0,77510.116,124799.59,2024-10-21,2025-10-30,374.0
C000112,Rahul Sharma,c000112@mail.com,North,Chandigarh,2022-02-15,Consumer,240032.87,5.0,48006.574,69554.38000000002,2024-03-12,2025-03-17,370.0
C000113,Tanvi Malhotra,c000113@mail.com,South,Chennai,2023-12-26,Corporate,775794.96,11.0,70526.81454545454,281102.14,2024-06-30,2025-08-10,406.0
C000114,Neha Verma,c000114@mail.com,East,Kolkata,2024-12-14,Consumer,952691.5700000001,11.0,86608.32454545455,357183.0200000001,2024-01-08,2025-11-14,676.0
C000115,Neha Singh,c000115@mail.com,North,Jaipur,2023-10-30,Consumer,561521.03,8.0,70190.12875,209452.71,2024-01-05,2025-12-29,724.0
C000116,Diya Nair,c000116@mail.com,West,Mumbai,2025-03-16,Consumer,791509.3899999999,9.0,87945.48777777777,260547.66000000003,2024-05-07,2025-10-27,538.0
C000117,Isha Iyer,c000117@mail.com,West,Mumbai,2022-05-17,Corporate,445615.88,6.0,74269.31333333334,164927.24,2024-06-20,2025-12-21,549.0
C000118,Neha Gupta,c000118@mail.com,West,Pune,2024-03-11,Home Office,315859.76,6.0,52643.293333333335,88961.43000000002,2024-03-01,2025-07-12,498.0
C000119,Rahul Singh,c000119@mail.com,South,Hyderabad,2024-02-19,Consumer,518573.09,6.0,86428.84833333334,198394.88000000003,2024-04-19,2025-12-28,618.0
C000120,Neha Mehta,c000120@mail.com,East,Patna,2025-03-27,Consumer,335304.57999999996,6.0,55884.09666666666,82703.08999999998,2024-01-29,2025-10-02,612.0
C000121,Nitya Saxena,c000121@mail.com,East,Patna,2023-09-18,Consumer,116252.44,3.0,38750.81333333333,41964.82000000001,2024-12-16,2025-07-22,218.0
C000122,Nitya Bose,c000122@mail.com,West,Pune,2024-09-13,Consumer,227318.07,5.0,45463.614,55955.09,2024-05-18,2025-11-22,553.0
C000123,Varun Sharma,c000123@mail.com,North,Chandigarh,2022-06-24,Corporate,283461.64,3.0,94487.21333333333,65910.46,2024-09-17,2025-09-03,351.0
C000124,Nikhil Mehta,c000124@mail.com,South,Bengaluru,2022-02-23,Consumer,96317.23999999999,2.0,48158.619999999995,37160.88,2024-04-20,2024-12-11,235.0
C000125,Kiara Gupta,c000125@mail.com,North,Jaipur,2024-05-09,Consumer,488948.91000000003,6.0,81491.485,168126.4,2024-06-21,2025-12-23,550.0
C000126,Varun Yadav,c000126@mail.com,East,Bhubaneswar,2022-01-05,Consumer,467745.76,7.0,66820.82285714286,127809.90000000002,2024-02-14,2025-11-06,631.0
C000127,Rahul Bhat,c000127@mail.com,South,Bengaluru,2024-11-15,Consumer,119418.97,4.0,29854.7425,37852.740000000005,2024-02-05,2025-10-25,628.0
C000128,Isha Roy,c000128@mail.com,North,Jaipur,2022-01-25,Corporate,568762.01,10.0,56876.201,206455.91,2024-04-28,2025-10-26,546.0
C000129,Aarav Mehta,c000129@mail.com,North,Chandigarh,2024-04-06,Consumer,639312.56,6.0,106552.09333333334,199629.18000000002,2024-06-13,2025-12-06,541.0
C000130,Tanvi Reddy,c000130@mail.com,East,Kolkata,2023-06-27,Consumer,297655.25,5.0,59531.05,114327.91,2024-06-07,2025-12-04,545.0
C000131,Nikhil Iyer,c000131@mail.com,North,Jaipur,2024-02-14,Consumer,324898.68,6.0,54149.78,95276.24,2024-03-24,2025-11-10,596.0
C000132,Nitya Saxena,c000132@mail.com,Central,Nagpur,2024-01-19,Corporate,413105.77999999997,4.0,103276.44499999999,135825.35,2024-02-12,2025-07-09,513.0
C000133,Neha Gupta,c000133@mail.com,East,Kolkata,2023-06-18,Consumer,336487.61,7.0,48069.65857142857,113837.45999999999,2024-01-19,2025-12-13,694.0
C000134,Vivaan Khan,c000134@mail.com,South,Unknown,2023-08-01,Consumer,508345.67000000004,4.0,127086.41750000001,171728.57,2024-03-03,2025-11-06,613.0
C000135,Arjun Saxena,c000135@mail.com,East,Kolkata,2023-08-28,Corporate,409760.67,8.0,51220.08375,154827.90000000002,2024-06-02,2025-12-19,565.0
C000136,Tanvi Yadav,c000136@mail.com,North,Jaipur,2024-03-23,Consumer,693230.98,6.0,115538.49666666666,249603.66999999998,2024-02-26,2025-05-16,445.0
C000137,Anaya Bhat,c000137@mail.com,Central,Bhopal,2024-05-02,Consumer,548200.4,5.0,109640.08,219716.96,2024-05-02,2025-11-22,569.0
C000138,Rahul Saxena,c000138@mail.com,East,Kolkata,2023-06-24,Corporate,85863.22,4.0,21465.805,28831.42,2024-06-20,2025-06-17,362.0
C000139,Anaya Nair,c000139@mail.com,West,Mumbai,2023-02-28,Home Office,559254.05,6.0,93209.00833333335,197433.48,2024-01-03,2025-10-27,663.0
C000140,Varun Iyer,c000140@mail.com,North,Chandigarh,2022-02-21,Consumer,575930.98,8.0,71991.3725,195409.75000000003,2024-01-26,2025-12-01,675.0
C000141,Rohan Singh,c000141@mail.com,East,Patna,2024-07-24,Consumer,646274.52,6.0,107712.42,243655.68,2024-05-12,2025-12-07,574.0
C000142,Kiara Das,c000142@mail.com,East,Kolkata,2022-09-29,Consumer,262979.18999999994,7.0,37568.45571428571,102311.60999999997,2024-02-25,2025-03-24,393.0
C000143,Diya Mehta,c000143@mail.com,Central,Bhopal,2023-06-06,Consumer,245663.51000000004,6.0,40943.91833333334,72364.86000000002,2024-01-05,2025-08-26,599.0
C000144,Meera Sharma,c000144@mail.com,East,Kolkata,2025-04-06,Corporate,276257.48,8.0,34532.185,97027.48,2024-07-28,2025-11-02,462.0
C000145,Aarav Iyer,c000145@mail.com,East,Kolkata,2024-07-30,Consumer,320601.35,3.0,106867.11666666665,89481.68,2024-05-03,2025-10-09,524.0
C000146,Aarav Yadav,c000146@mail.com,South,Hyderabad,2023-02-20,Corporate,215441.58,5.0,43088.316,85464.06000000001,2024-01-18,2025-11-04,656.0
C000147,Kabir Reddy,c000147@mail.com,South,Chennai,2023-07-24,Corporate,265096.15,3.0,88365.38333333335,98600.69,2024-03-12,2025-04-03,387.0
C000148,Rahul Chopra,c000148@mail.com,East,Patna,2023-01-25,Consumer,412656.14999999997,6.0,68776.025,149556.43,2024-03-26,2025-10-06,559.0
C000149,Varun Malhotra,c000149@mail.com,South,Hyderabad,2024-01-22,Consumer,230323.32,3.0,76774.44,78129.92000000001,2025-04-07,2025-09-30,176.0
C000150,Vivaan Bose,c000150@mail.com,North,Jaipur,2022-07-03,Consumer,153600.66,4.0,38400.165,43489.40000000001,2024-03-25,2025-12-24,639.0
C000151,Tanvi Gupta,c000151@mail.com,West,Mumbai,2025-02-17,Home Office,102849.04000000001,2.0,51424.520000000004,31363.750000000004,2024-06-21,2025-09-30,466.0
C000152,Aditya Roy,c000152@mail.com,Central,Bhopal,2025-03-30,Corporate,31781.29,2.0,15890.645,14271.51,2024-09-18,2025-01-13,117.0
C000153,Aditya Khan,c000153@mail.com,North,Chandigarh,2022-12-25,Home Office,341348.8,6.0,56891.46666666667,103916.29000000001,2024-01-20,2025-11-03,653.0
C000154,Tanvi Jain,c000154@mail.com,East,Patna,2022-10-04,Home Office,148280.61,5.0,29656.121999999996,45539.880000000005,2024-02-21,2024-09-25,217.0
C000155,Kabir Saxena,c000155@mail.com,North,Delhi,2023-10-10,Consumer,527645.54,9.0,58627.282222222224,199792.02000000002,2024-03-30,2025-12-27,637.0
C000156,Nikhil Malhotra,c000156@mail.com,West,Pune,2024-02-16,Consumer,85814.15,3.0,28604.716666666664,15311.45,2024-07-28,2025-07-10,347.0
C000157,Aditya Khan,c000157@mail.com,South,Bengaluru,2024-02-12,Consumer,403997.87,8.0,50499.73375,145251.30000000002,2024-01-20,2025-10-23,642.0
C000158,Aditya Kulkarni,c000158@mail.com,West,Ahmedabad,2022-02-20,Consumer,110344.36,4.0,27586.09,45682.26000000001,2024-09-27,2025-10-03,371.0
C000159,Vivaan Verma,c000159@mail.com,West,Pune,2024-05-03,Consumer,638695.54,9.0,70966.17111111112,262171.53,2024-05-13,2025-12-04,570.0
C000160,Kabir Reddy,c000160@mail.com,West,Mumbai,2022-03-21,Consumer,543406.5399999999,6.0,90567.75666666665,215403.74,2024-04-15,2025-10-06,539.0
C000161,Pooja Iyer,c000161@mail.com,North,Delhi,2023-02-15,Consumer,418764.37,6.0,69794.06166666666,188171.71999999997,2024-04-17,2025-12-06,598.0
C000162,Riya Gupta,c000162@mail.com,Central,Indore,2024-05-10,Corporate,155011.87000000002,4.0,38752.967500000006,47481.61000000001,2024-05-31,2025-06-16,381.0
C000163,Saanvi Patel,c000163@mail.com,South,Bengaluru,2024-11-30,Corporate,263272.95,4.0,65818.2375,95345.1,2024-01-28,2025-09-15,596.0
C000164,Vivaan Khan,c000164@mail.com,North,Jaipur,2024-02-02,Consumer,241204.02000000002,2.0,120602.01000000001,95103.12000000001,2024-03-16,2025-11-26,620.0
C000165,Kabir Malhotra,c000165@mail.com,East,Patna,2022-07-11,Consumer,694510.24,8.0,86813.78,298310.32,2024-03-25,2025-12-03,618.0
C000166,Rohan Das,c000166@mail.com,South,Bengaluru,2024-03-27,Corporate,320764.45999999996,4.0,80191.11499999999,139720.65,2024-12-31,2025-12-29,363.0
C000167,Vivaan Nair,c000167@mail.com,West,Ahmedabad,2022-02-14,Consumer,614158.1799999999,6.0,102359.69666666666,175951.40000000002,2024-01-16,2025-11-30,684.0
